t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, -0.0300, 0.0500, 6.2389, 11.8999, 2.3804, 0.0000, 0.7788, -2.8766, 1.6051, 0.3500, 0.0000, 0.0000
0.0200, -0.0300, 0.0400, 6.2389, 0.0000, 2.3799, 0.0000, -8.2491, 16.2809, -8.2262, 0.3500, 0.0000, 0.0000
0.0300, -0.0400, 0.0400, 6.2389, -4.7598, -4.7603, 9.5201, -8.9880, 18.0532, -9.0949, 0.3500, 0.0000, 0.0000
0.0400, -0.0300, 0.0300, 6.2389, 4.7603, 4.7598, 9.5201, -9.2714, 18.7603, -9.4935, 0.3500, 0.0000, 0.0000
0.0500, -0.0300, 0.0500, 6.2389, 14.2798, -21.4195, -4.7603, -9.8347, 20.7325, -9.6995, 0.3500, 0.0000, 0.0000
0.0600, -0.0400, 0.0600, 6.2389, 4.7603, 4.7598, 0.0000, -10.6240, 20.4374, -10.1345, 0.3500, 0.0000, 0.0000
0.0700, -0.0400, 0.0400, 6.2389, -23.7999, 2.3804, 0.0000, -9.9545, 21.0877, -10.7501, 0.3500, 0.0000, 0.0000
0.0800, -0.0300, 0.0400, 6.2389, 11.8999, 59.4997, 9.5201, -11.0012, 21.6857, -10.9261, 0.3500, 0.0000, 0.0000
0.0900, -0.0400, 0.0400, 6.2389, 7.1402, 0.0000, 19.0396, -11.3669, 22.4519, -11.9697, 0.3500, 0.0000, 0.0000
0.1000, -0.0400, 0.0400, 6.2389, -30.9401, -4.7598, -9.5201, -12.4424, 23.1774, -11.4584, 0.3500, 0.0000, 0.0000
0.1100, -0.2900, 0.0400, 6.2389, -16.6602, -4.7598, 0.0000, -11.2829, 24.1686, -12.0283, 0.3500, 0.0000, 0.0000
0.1200, 0.0600, 0.0600, 6.2367, 4.7598, -11.8999, 9.5201, -12.6580, 24.5126, -12.3696, 0.3500, 0.0000, 0.0000
0.1300, 0.6600, 0.3000, 6.2356, 4.7603, -2.3804, 14.2798, -13.2039, 23.5923, -13.3955, 0.3500, 0.0000, 0.0000
0.1400, 0.3300, -0.0900, 6.2356, 2.3799, 0.0000, 0.0000, -13.1658, 22.4936, -13.1202, 0.3500, 0.0000, 0.0000
0.1500, 0.7300, 0.9500, 6.2356, -26.1803, -2.3799, -4.7603, -13.5017, 22.2456, -13.0971, 0.3500, 0.0000, 0.0000
0.1600, 0.4300, 0.3900, 6.2333, 0.0000, 2.3799, 0.0000, -13.6114, 21.4203, -13.8554, 0.3500, 0.0000, 0.0000
0.1700, 0.7300, 0.3200, 6.2311, -2.3799, 4.7598, 9.5201, -14.0226, 21.2485, -14.4102, 0.3500, 0.0000, 0.0000
0.1800, 0.4700, 0.0200, 6.2289, 9.5196, -9.5201, -9.5196, -13.8714, 21.1138, -14.7016, 0.3500, 0.0000, 0.0000
0.1900, 0.6900, 0.0000, 6.2256, 0.0000, 7.1402, 4.7603, -13.9832, 21.2705, -15.0168, 0.3500, 0.0000, 0.0000
0.2000, 0.8000, -0.4900, 6.2233, -19.0401, -16.6597, -14.2803, -14.2219, 21.3806, -14.6913, 0.3500, 0.0000, 0.0000
0.2100, 1.3200, -0.1300, 6.2200, 4.7598, 7.1402, 0.0000, -14.9963, 20.1421, -15.3526, 0.3500, 0.0000, 0.0000
0.2200, 0.7000, 2.0900, 6.2156, -7.1402, 0.0000, -4.7603, -15.2012, 20.7566, -16.4860, 0.3500, 0.0000, 0.0000
0.2300, 0.6800, 0.3200, 6.2111, 0.0000, 0.0000, -19.0396, -15.8463, 21.7267, -15.8631, 0.3500, 0.0000, 0.0000
0.2400, 0.7600, -0.1400, 6.2056, 0.0000, 7.1397, 19.0396, -15.5199, 21.5035, -17.1295, 0.3500, 0.0000, 0.0000
0.2500, 0.2600, -0.2200, 6.2000, 16.6597, 21.4200, 4.7603, -16.7783, 21.9702, -17.5865, 0.3500, 0.0000, 0.0000
0.2600, 2.1200, -0.1300, 6.1933, 11.8999, -14.2798, -2.3799, -18.5738, 23.2239, -17.7383, 0.3500, 0.0000, 0.0000
0.2700, 0.6600, 0.2600, 6.1844, 9.5201, 16.6597, 0.0000, -16.7438, 22.4085, -16.8215, 0.3500, 0.0000, 0.0000
0.2800, -0.6200, 0.8700, 6.1778, -9.5201, 0.0000, -28.5602, -16.0156, 23.6535, -15.7556, 0.3500, 0.0000, 0.0000
0.2900, -0.0100, 1.5600, 6.1722, 0.0000, 11.8999, 4.7598, -16.2061, 24.2307, -15.2871, 0.3500, 0.0000, 0.0000
0.3000, 1.7700, -2.1600, 6.1700, -4.7603, 0.0000, -4.7598, -15.7490, 24.4652, -14.8654, 0.3500, 0.0000, 0.0000
0.3100, 0.7200, -0.5500, 6.1689, -19.0401, 19.0401, -11.8999, -15.0755, 24.0625, -13.8315, 0.3500, 0.0000, 0.0000
0.3200, 0.5100, 0.1900, 6.1689, 0.0000, 7.1397, 0.0000, -13.9981, 24.6705, -11.8856, 0.3500, 0.0000, 0.0000
0.3300, 0.0500, -0.5500, 6.1700, 0.0000, 2.3799, -2.3799, -13.5912, 25.1019, -11.2623, 0.3500, 0.0000, 0.0000
0.3400, 2.2300, 1.7200, 6.1711, 0.0000, 11.8999, -4.7603, -15.1348, 24.2898, -13.3070, 0.3500, 0.0000, 0.0000
0.3500, 1.1700, 1.9600, 6.1733, 11.8999, 23.7999, 0.0000, -16.1132, 24.1524, -12.5699, 0.3500, 0.0000, 0.0000
0.3600, 1.1600, -0.4200, 6.1756, -2.3799, 2.3804, -19.0401, -14.0197, 23.8144, -12.9591, 0.3500, 0.0000, 0.0000
0.3700, -0.1600, -0.9600, 6.1778, -21.4200, 4.7603, 0.0000, -11.4172, 24.2850, -13.0025, 0.3500, 0.0000, 0.0000
0.3800, 0.6800, 3.9600, 6.1800, 4.7598, -9.5201, 16.6597, -13.5158, 23.9283, -14.8718, 0.3500, 0.0000, 0.0000
0.3900, 2.2500, 0.5900, 6.1811, -14.2803, 9.5201, -2.3799, -13.1340, 23.5408, -14.1674, 0.3500, 0.0000, 0.0000
0.4000, 0.4300, -1.7400, 6.1811, 0.0000, 2.3801, 2.3799, -12.6475, 22.9841, -14.5496, 0.3500, 0.0000, 0.0000
0.4100, -0.5500, -0.2700, 6.1800, -9.5201, 9.5198, -7.1397, -12.7793, 24.1296, -13.6595, 0.3500, 0.0000, 0.0000
0.4200, -0.3100, 1.4200, 6.1789, -4.7603, 26.1800, 0.0000, -12.7428, 23.1939, -14.1441, 0.3500, 0.0000, 0.0000
0.4300, 0.1100, 1.8900, 6.1800, -42.8400, 19.0399, -4.7598, -12.5358, 23.0076, -14.2666, 0.3500, 0.0000, 0.0000
0.4400, 0.4900, -0.2600, 6.1789, 14.2798, 9.5201, -4.7603, -11.8794, 22.4406, -14.5008, 0.3500, 0.0000, 0.0000
0.4500, -0.9300, -0.7000, 6.1789, 11.8999, 90.4398, 4.7598, -14.0715, 18.8331, -14.7150, 0.3500, 0.0000, 0.0000
0.4600, 0.6900, -0.8000, 6.1789, -11.8999, 14.2798, -11.8999, -13.8353, 22.4505, -15.3263, 0.3500, 0.0000, 0.0000
0.4700, 1.2800, -1.2600, 6.1778, 14.2798, 2.3801, -2.3799, -14.2298, 22.8199, -14.8510, 0.3500, 0.0000, 0.0000
0.4800, -1.3900, 0.4700, 6.1767, -14.2798, 23.7999, -4.7603, -13.5275, 21.9884, -14.8276, 0.3500, 0.0000, 0.0000
0.4900, 1.1200, -0.7800, 6.1767, 7.1402, 4.7600, -19.0401, -14.0999, 22.1073, -13.9857, 0.3500, 0.0000, 0.0000
0.5000, 0.5600, 0.1600, 6.1800, 0.0000, 19.0399, -23.7999, -13.6967, 22.4015, -13.5437, 0.3500, 0.0000, 0.0000
0.5100, -1.0000, -0.7500, 6.1833, 7.1402, 7.1399, 0.0000, -14.0704, 22.8231, -14.5863, 0.3500, 0.0000, 0.0000
0.5200, -0.0400, 0.1800, 6.1856, 0.0000, 4.7600, -4.7598, -14.1429, 22.9018, -14.6318, 0.3500, 0.0000, 0.0000
0.5300, 0.4600, -0.4400, 6.1878, -47.5998, 21.4198, 2.3799, -12.4744, 22.7393, -14.7968, 0.3500, 0.0000, 0.0000
0.5400, -0.8700, 1.2300, 6.1911, -28.5602, 9.5198, -21.4200, -13.4014, 23.2796, -14.1523, 0.3500, 0.0000, 0.0000
0.5500, 0.9200, 1.4600, 6.1967, -14.2798, 2.3801, 0.0000, -13.9549, 24.2292, -14.5879, 0.3500, 0.0000, 0.0000
0.5600, -0.5400, -0.3200, 6.2000, -19.0401, 19.0399, -14.2798, -15.0290, 25.0405, -14.2097, 0.3500, 0.0000, 0.0000
0.5700, -1.2300, 0.6900, 6.2033, -21.4205, 7.1399, 0.0000, -15.0507, 24.1960, -14.4909, 0.3500, 0.0000, 0.0000
0.5800, 0.9700, -0.5600, 6.2078, -30.9396, 9.5201, -14.2798, -14.1184, 25.0691, -14.6576, 0.3500, 0.0000, 0.0000
0.5900, -1.7200, 1.4900, 6.2100, -7.1402, 26.1798, -7.1402, -14.8755, 25.2785, -14.6118, 0.3500, 0.0000, 0.0000
0.6000, -0.6100, -0.8100, 6.2122, 7.1402, 9.5201, -2.3799, -15.7717, 25.8397, -14.6131, 0.3500, 0.0000, 0.0000
0.6100, -2.0600, -1.2600, 6.2156, -9.5196, -2.3801, 7.1402, -14.5280, 27.5403, -14.5292, 0.3500, 0.0000, 0.0000
0.6200, 0.3200, 0.4500, 6.2189, -14.2803, 4.7603, 0.0000, -14.1251, 27.3866, -14.8797, 0.3500, 0.0000, 0.0000
0.6300, 0.1500, -0.3700, 6.2200, -19.0401, 4.7600, -4.7598, -13.8450, 27.4645, -14.9174, 0.3500, 0.0000, 0.0000
0.6400, -0.1700, -0.7500, 6.2222, 7.1397, -4.7598, 0.0000, -15.0389, 29.1771, -14.7731, 0.3500, 0.0000, 0.0000
0.6500, 1.6200, 1.0800, 6.2244, 0.0000, 16.6602, -4.7598, -16.0758, 28.5387, -14.6987, 0.3500, 0.0000, 0.0000
0.6600, 2.1700, -2.6500, 6.2256, -7.1402, 19.0401, -7.1402, -16.2016, 27.6745, -14.6242, 0.3500, 0.0000, 0.0000
0.6700, -3.2700, -0.7200, 6.2267, 9.5196, 9.5201, 9.5201, -15.9632, 28.2199, -14.7522, 0.3500, 0.0000, 0.0000
0.6800, 2.7200, 1.1600, 6.2256, -16.6602, 7.1397, 0.0000, -15.3747, 28.5464, -13.8976, 0.3500, 0.0000, 0.0000
0.6900, 0.2700, -2.0300, 6.2256, -7.1402, 7.1402, -14.2798, -14.3827, 28.6979, -13.9162, 0.3500, 0.0000, 0.0000
0.7000, -3.0400, -2.3700, 6.2222, -7.1397, 0.0000, 7.1402, -13.4875, 29.3047, -14.6626, 0.3500, 0.0000, 0.0000
0.7100, 1.2100, 0.6900, 6.2222, -7.1402, -7.1397, -4.7598, -13.4554, 29.4421, -14.1083, 0.3500, 0.0000, 0.0000
0.7200, 1.9700, 1.7700, 6.2211, -9.5201, 0.0000, -7.1402, -14.1061, 30.5396, -14.4185, 0.3500, 0.0000, 0.0000
0.7300, -0.3900, 0.8200, 6.2211, -2.3799, 11.8999, -9.5201, -14.9373, 29.9006, -13.8994, 0.3500, 0.0000, 0.0000
0.7400, 0.1300, -1.8100, 6.2211, -14.2798, 7.1402, 2.3799, -15.1825, 29.5617, -14.3545, 0.3500, 0.0000, 0.0000
0.7500, -0.9400, -0.2200, 6.2211, -11.8999, 16.6602, -2.3799, -16.2188, 29.4947, -13.7628, 0.3500, 0.0000, 0.0000
0.7600, 0.2600, 1.9200, 6.2244, -28.5597, 2.3799, 0.0000, -14.2809, 29.0292, -15.7219, 0.3500, 0.0000, 0.0000
0.7700, 1.8900, 1.3300, 6.2244, -2.3799, 23.7999, 4.7598, -13.2718, 27.8179, -17.5971, 0.3500, 0.0000, 0.0000
