t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, 0.0100, 0.0000, 6.2278, -9.5199, 4.7600, -4.7600, 1.9020, 0.0031, 2.7551, 0.3500, 0.0000, 0.0000
0.0200, 0.0000, -0.0100, 6.2278, 35.7000, 0.0000, -2.3800, -11.0135, 18.8161, -8.5609, 0.3500, 0.0000, 0.0000
0.0300, 0.0100, -0.0100, 6.2278, -11.8999, 0.0000, 2.3800, -8.9129, 19.1014, -9.4858, 0.3500, 0.0000, 0.0000
0.0400, 0.0300, 0.0100, 6.2278, 0.0000, -4.7599, -2.3800, -9.6312, 20.2892, -9.5152, 0.3500, 0.0000, 0.0000
0.0500, 0.0200, 0.0000, 6.2278, -9.5201, 4.7599, 0.0000, -9.7617, 20.7066, -9.4804, 0.3500, 0.0000, 0.0000
0.0600, 0.0200, 0.0200, 6.2278, -23.8000, -4.7599, -2.3800, -10.1419, 21.6077, -10.4693, 0.3500, 0.0000, 0.0000
0.0700, 0.0100, 0.0000, 6.2278, 0.0000, 0.0000, 4.7600, -10.5570, 22.0716, -10.9651, 0.3500, 0.0000, 0.0000
0.0800, 0.0100, 0.0300, 6.2278, 0.0000, 2.3800, -14.2800, -11.1353, 22.6430, -10.6889, 0.3500, 0.0000, 0.0000
0.0900, 0.0100, 0.0100, 6.2278, -2.3799, 0.0000, 2.3800, -11.6982, 23.2398, -11.7011, 0.3500, 0.0000, 0.0000
0.1000, 0.0000, 0.0000, 6.2278, -14.2801, -7.1400, 16.6599, -12.1146, 22.9397, -12.0812, 0.3500, 0.0000, 0.0000
0.1100, -0.1400, 0.1400, 6.2267, -11.9001, 7.1400, 0.0000, -12.3396, 22.4390, -12.2963, 0.3500, 0.0000, 0.0000
0.1200, 0.6100, 0.2100, 6.2233, -2.3800, 9.5199, 2.3800, -13.1168, 21.9863, -12.9004, 0.3500, 0.0000, 0.0000
0.1300, 2.3400, 0.9700, 6.2189, 4.7599, 11.8999, 2.3800, -13.6129, 21.8605, -13.1689, 0.3500, 0.0000, 0.0000
0.1400, 0.3500, -0.0200, 6.2133, -21.4200, -2.3799, 7.1400, -12.8651, 22.3025, -13.8439, 0.3500, 0.0000, 0.0000
0.1500, 1.0100, -0.6300, 6.2078, -23.7999, -2.3800, 2.3800, -13.2101, 22.2429, -13.9869, 0.3500, 0.0000, 0.0000
0.1600, 1.6100, 0.2500, 6.2022, 19.0400, 7.1399, 2.3800, -14.4545, 21.2533, -15.1136, 0.3500, 0.0000, 0.0000
0.1700, 1.3000, -0.1100, 6.1956, 14.2800, 16.6600, -2.3800, -14.5626, 20.9587, -15.4327, 0.3500, 0.0000, 0.0000
0.1800, 1.5000, -0.3600, 6.1889, 0.0000, 9.5199, -9.5200, -14.2292, 21.2808, -15.1983, 0.3500, 0.0000, 0.0000
0.1900, 0.0000, -0.1500, 6.1811, -2.3799, 4.7600, 9.5200, -15.0445, 21.0723, -16.1186, 0.3500, 0.0000, 0.0000
0.2000, 0.2900, -0.7600, 6.1733, 19.0400, 9.5201, 4.7600, -16.3349, 20.4498, -15.8039, 0.3500, 0.0000, 0.0000
0.2100, 1.1000, 0.0800, 6.1656, -19.0400, 21.4200, -7.1400, -15.4547, 19.9929, -16.1091, 0.3500, 0.0000, 0.0000
0.2200, 0.9700, 0.2200, 6.1556, 16.6599, 23.7999, -2.3800, -16.1955, 19.6042, -16.5639, 0.3500, 0.0000, 0.0000
0.2300, 1.6500, -0.7600, 6.1467, 7.1399, 21.4199, 9.5200, -16.5854, 19.9598, -16.7434, 0.3500, 0.0000, 0.0000
0.2400, -0.4900, -0.9200, 6.1389, 7.1400, 2.3800, 11.9000, -17.4769, 20.8275, -16.7050, 0.3500, 0.0000, 0.0000
0.2500, -0.4000, 1.9300, 6.1311, -11.8999, 11.8999, 4.7600, -16.9639, 20.1122, -16.2038, 0.3500, 0.0000, 0.0000
0.2600, -1.7000, 0.4500, 6.1244, 0.0000, 2.3800, -2.3800, -16.9198, 20.5433, -16.8519, 0.3500, 0.0000, 0.0000
0.2700, 2.1800, -0.3700, 6.1156, -11.8999, -4.7599, 45.2199, -16.3709, 20.4844, -16.4622, 0.3500, 0.0000, 0.0000
0.2800, 1.1800, -0.5100, 6.1111, 16.6600, -2.3799, -7.1400, -16.2249, 20.8896, -16.5228, 0.3500, 0.0000, 0.0000
0.2900, 1.5800, 1.3100, 6.1078, -7.1399, 9.5199, -4.7600, -14.3895, 20.0183, -15.5677, 0.3500, 0.0000, 0.0000
0.3000, 0.3400, -0.8700, 6.1033, 0.0000, 14.2800, -11.8999, -14.2038, 19.9695, -14.6708, 0.3500, 0.0000, 0.0000
0.3100, -1.8700, 1.8100, 6.0989, -7.1399, 16.6600, -7.1400, -14.0106, 20.4836, -13.8473, 0.3500, 0.0000, 0.0000
0.3200, -0.9900, -0.2000, 6.0956, -16.6600, 16.6600, 0.0000, -13.2969, 20.1068, -14.2574, 0.3500, 0.0000, 0.0000
0.3300, 0.6700, -0.7800, 6.0956, -16.6600, 57.1198, 0.0000, -13.8429, 19.0387, -13.3500, 0.3500, 0.0000, 0.0000
0.3400, -0.4800, -0.5800, 6.0933, -2.3799, 2.3800, 0.0000, -14.3997, 21.0523, -12.8267, 0.3500, 0.0000, 0.0000
0.3500, 1.9500, 0.7200, 6.0922, -11.8999, 16.6600, 0.0000, -13.4564, 20.8795, -12.7796, 0.3500, 0.0000, 0.0000
0.3600, 1.7000, 1.4200, 6.0889, 4.7600, 11.8999, -9.5200, -13.9845, 21.8824, -12.8629, 0.3500, 0.0000, 0.0000
0.3700, -1.2600, -0.0600, 6.0867, -7.1399, 0.0000, -11.8999, -11.7272, 23.1932, -12.9989, 0.3500, 0.0000, 0.0000
0.3800, -0.1100, 0.3100, 6.0867, -16.6600, -4.7598, -7.1400, -11.6697, 25.4255, -13.3382, 0.3500, 0.0000, 0.0000
0.3900, 1.1500, -1.0500, 6.0878, -2.3799, 14.2803, 0.0000, -12.0312, 24.1637, -13.5472, 0.3500, 0.0000, 0.0000
0.4000, -2.6300, -0.4900, 6.0889, -4.7600, -4.7598, -4.7600, -11.9709, 25.0089, -13.5814, 0.3500, 0.0000, 0.0000
0.4100, 1.7300, 0.5200, 6.0889, -28.5599, 23.7999, -16.6599, -13.2805, 23.3719, -13.0989, 0.3500, 0.0000, 0.0000
0.4200, 0.7000, -1.4300, 6.0878, -4.7600, 2.3804, 0.0000, -13.6780, 23.6980, -13.9144, 0.3500, 0.0000, 0.0000
0.4300, -1.0600, 2.7400, 6.0889, 14.2798, 9.5196, -7.1399, -13.5685, 23.4733, -13.8585, 0.3500, 0.0000, 0.0000
0.4400, -2.1700, -1.3200, 6.0922, 0.0000, 7.1397, -9.5201, -14.0663, 22.6956, -13.5115, 0.3500, 0.0000, 0.0000
0.4500, 1.4300, -0.1800, 6.0944, 16.6600, 0.0000, -4.7600, -13.3052, 24.2751, -14.0241, 0.3500, 0.0000, 0.0000
0.4600, 0.3500, -0.2100, 6.0978, -14.2801, 14.2803, -4.7600, -12.5590, 23.7285, -13.7998, 0.3500, 0.0000, 0.0000
0.4700, -0.0100, -1.0700, 6.1011, -21.4200, 4.7603, -16.6600, -12.5609, 23.3163, -13.3910, 0.3500, 0.0000, 0.0000
0.4800, 0.8100, 1.2400, 6.1033, -7.1402, 4.7603, 21.4199, -12.6714, 24.6578, -14.5041, 0.3500, 0.0000, 0.0000
0.4900, 1.9300, 1.6500, 6.1056, -19.0399, 0.0000, -9.5199, -12.5612, 25.4126, -14.0875, 0.3500, 0.0000, 0.0000
0.5000, 2.0100, -1.8500, 6.1089, -16.6600, 9.5201, -4.7600, -14.0084, 26.1683, -14.9546, 0.3500, 0.0000, 0.0000
