t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, 0.0000, 0.0400, 0.0000, -7.1399, 0.0000, -7.1397, 1.5647, 1.0524, -3.1856, 0.3500, 0.0000, 0.0000
0.0200, 0.0100, 0.0200, 0.0000, 0.0000, 0.0000, 4.7598, -8.8671, 19.1642, -11.6170, 0.3500, 0.0000, 0.0000
0.0300, 0.0100, 0.0200, 0.0000, -9.5201, 0.0000, 0.0000, -9.7195, 19.4187, -11.4028, 0.3500, 0.0000, 0.0000
0.0400, 0.0100, 0.0000, 0.0000, 2.3799, 7.1399, 2.3799, -9.6111, 20.0485, -11.5428, 0.3500, 0.0000, 0.0000
0.0500, 0.0000, 0.0200, 0.0000, -7.1399, 0.0000, 4.7598, -10.1455, 20.9449, -11.0754, 0.3500, 0.0000, 0.0000
0.0600, 0.0000, 0.0100, 0.0000, -9.5201, 78.5398, 9.5201, -10.1040, 18.2304, -11.7382, 0.3500, 0.0000, 0.0000
0.0700, 0.0000, 0.0000, 0.0000, -11.8999, 4.7600, 9.5201, -10.2496, 22.1067, -12.1976, 0.3500, 0.0000, 0.0000
0.0800, 0.0100, 0.0200, 0.0000, -16.6600, 4.7600, 14.2803, -10.8211, 22.7743, -12.4743, 0.3500, 0.0000, 0.0000
0.0900, 0.0100, 0.0000, 0.0000, 0.0000, 4.7600, 4.7598, -11.6034, 23.2395, -12.9591, 0.3500, 0.0000, 0.0000
0.1000, 0.0100, 0.0100, 0.0000, 0.0000, 4.7600, 2.3799, -11.5529, 22.9404, -13.1837, 0.3500, 0.0000, 0.0000
0.1100, -0.4700, 0.3400, 6.2811, -14.2801, 0.0000, 9.5201, -11.8964, 22.7330, -14.1080, 0.3500, 0.0000, 0.0000
0.1200, 0.5700, 0.0900, 6.2778, -2.3799, 0.0000, 2.3799, -12.6198, 22.3632, -14.5447, 0.3500, 0.0000, 0.0000
0.1300, 1.1700, 0.7500, 6.2744, 11.8999, 14.2798, 16.6602, -13.3322, 21.3269, -15.4572, 0.3500, 0.0000, 0.0000
0.1400, 0.7600, -0.2800, 6.2689, -9.5201, 0.0000, 33.3200, -12.8134, 21.7004, -16.3516, 0.3500, 0.0000, 0.0000
0.1500, 1.3600, -0.0100, 6.2633, -21.4200, 9.5198, 2.3799, -12.8861, 21.0069, -14.8110, 0.3500, 0.0000, 0.0000
0.1600, 1.0700, 0.1500, 6.2578, -30.9401, 2.3799, 19.0401, -13.2417, 21.5614, -16.0776, 0.3500, 0.0000, 0.0000
0.1700, 1.1300, -0.1100, 6.2511, 4.7600, 0.0000, 0.0000, -14.1127, 21.5145, -15.4017, 0.3500, 0.0000, 0.0000
0.1800, 0.4200, -0.3900, 6.2444, -9.5201, 0.0000, -19.0401, -14.3272, 20.7490, -15.6743, 0.3500, 0.0000, 0.0000
0.1900, -0.1900, 1.0300, 6.2378, 11.8999, 16.6600, -4.7598, -15.0381, 19.9180, -16.8092, 0.3500, 0.0000, 0.0000
0.2000, 1.5300, 0.1300, 6.2311, 0.0000, 9.5199, -9.5201, -15.0753, 20.1335, -16.9809, 0.3500, 0.0000, 0.0000
0.2100, 0.0100, -1.0000, 6.2244, -4.7598, 7.1399, -19.0401, -14.8970, 21.0559, -16.4776, 0.3500, 0.0000, 0.0000
0.2200, -1.5000, -0.8600, 6.2189, 11.8999, -9.5199, 0.0000, -16.1636, 21.6200, -17.7656, 0.3500, 0.0000, 0.0000
0.2300, 1.4100, 0.0300, 6.2122, -11.8999, 16.6600, 19.0401, -15.9723, 20.8059, -18.0408, 0.3500, 0.0000, 0.0000
0.2400, 1.5300, 2.2400, 6.2044, -4.7600, -2.3799, 7.1402, -16.5928, 21.4506, -18.7664, 0.3500, 0.0000, 0.0000
0.2500, -0.0500, -0.9200, 6.1956, -9.5201, 11.8999, 2.3799, -17.1375, 21.0210, -19.5107, 0.3500, 0.0000, 0.0000
0.2600, -1.2100, -0.8900, 6.1867, 4.7600, 14.2800, -7.1397, -17.7344, 21.7656, -17.7790, 0.3500, 0.0000, 0.0000
0.2700, 0.8500, -0.1400, 6.1767, 9.5198, 11.9001, -7.1402, -16.6167, 22.2644, -16.3776, 0.3500, 0.0000, 0.0000
0.2800, 1.0400, -0.2000, 6.1711, -9.5198, 21.4199, -9.5201, -16.7725, 22.2682, -14.9524, 0.3500, 0.0000, 0.0000
0.2900, -1.7800, -0.6200, 6.1678, 11.8999, -35.7000, 0.0000, -17.0008, 22.8118, -15.1110, 0.3500, 0.0000, 0.0000
0.3000, 2.2800, -0.3400, 6.1667, 4.7600, 9.5199, -7.1402, -15.3514, 23.7948, -16.0950, 0.3500, 0.0000, 0.0000
0.3100, 2.7300, 2.7800, 6.1633, -2.3799, 16.6600, -2.3799, -14.3923, 24.2982, -16.6023, 0.3500, 0.0000, 0.0000
0.3200, 0.9700, 0.3500, 6.1600, -19.0399, 9.5201, -9.5201, -11.8651, 23.2881, -14.5410, 0.3500, 0.0000, 0.0000
0.3300, -2.6700, -0.6000, 6.1578, 4.7598, 9.5199, 4.7603, -11.1477, 22.9350, -11.8551, 0.3500, 0.0000, 0.0000
0.3400, -2.1000, -0.7800, 6.1578, -4.7600, 0.0000, 4.7598, -10.9196, 24.2063, -11.9487, 0.3500, 0.0000, 0.0000
0.3500, 1.9300, 1.4400, 6.1611, -16.6600, 9.5199, 21.4200, -11.6628, 23.1495, -13.4989, 0.3500, 0.0000, 0.0000
0.3600, 4.4700, 3.5300, 6.1622, 4.7600, 11.8999, -9.5201, -12.1677, 22.2130, -11.7939, 0.3500, 0.0000, 0.0000
0.3700, 0.9100, -2.2700, 6.1611, -2.3799, 14.2801, -9.5201, -12.6152, 22.4634, -11.9027, 0.3500, 0.0000, 0.0000
0.3800, 0.2000, -0.9300, 6.1600, -16.6597, 4.7600, -4.7598, -12.5809, 22.0654, -13.1952, 0.3500, 0.0000, 0.0000
0.3900, 0.5100, 1.8900, 6.1578, -2.3799, 21.4200, -9.5201, -12.6779, 21.4069, -13.0637, 0.3500, 0.0000, 0.0000
0.4000, -2.0600, -0.1600, 6.1578, 0.0000, 4.7599, -2.3799, -11.7873, 22.4221, -13.2956, 0.3500, 0.0000, 0.0000
0.4100, -1.5200, -0.0700, 6.1533, -21.4198, 7.1399, -11.8999, -11.5639, 21.7293, -13.3701, 0.3500, 0.0000, 0.0000
0.4200, 3.5300, 0.9900, 6.1533, -7.1399, 11.8999, 0.0000, -11.4237, 21.0572, -13.3605, 0.3500, 0.0000, 0.0000
0.4300, -0.5000, -0.9300, 6.1544, 11.8999, 11.8999, -23.7999, -12.7015, 21.1881, -13.0672, 0.3500, 0.0000, 0.0000
0.4400, 2.5000, -0.2500, 6.1556, 0.0000, 19.0401, -2.3799, -12.1693, 21.0892, -13.3221, 0.3500, 0.0000, 0.0000
0.4500, 0.4200, 2.0500, 6.1556, 2.3801, 0.0000, -7.1397, -12.6269, 24.3907, -13.2004, 0.3500, 0.0000, 0.0000
0.4600, -1.9500, -0.2500, 6.1622, -19.0401, 14.2803, 11.8999, -12.3819, 26.0555, -13.4452, 0.3500, 0.0000, 0.0000
0.4700, -0.3900, -0.7400, 6.1622, 0.0000, 2.3799, -4.7598, -12.7860, 25.6028, -14.2791, 0.3500, 0.0000, 0.0000
0.4800, -2.0300, 0.0900, 6.1678, -9.5201, 4.7598, 0.0000, -12.6572, 25.2095, -14.5494, 0.3500, 0.0000, 0.0000
0.4900, -2.5300, -0.1500, 6.1722, -9.5201, 14.2798, -2.3799, -14.1447, 24.0798, -15.1901, 0.3500, 0.0000, 0.0000
0.5000, -0.9900, 0.7300, 6.1756, -4.7600, 28.5602, -2.3799, -13.8664, 22.2997, -14.7430, 0.3500, 0.0000, 0.0000
0.5100, 0.0300, 1.2200, 6.1756, -2.3801, 4.7603, 0.0000, -14.0690, 23.0342, -15.0379, 0.3500, 0.0000, 0.0000
0.5200, 0.3200, -0.8100, 6.1756, 0.0000, 11.8999, 0.0000, -13.1971, 24.2974, -14.4858, 0.3500, 0.0000, 0.0000
0.5300, -0.7500, 0.0300, 6.1733, 2.3801, 11.8999, -9.5201, -14.6738, 25.0650, -13.8602, 0.3500, 0.0000, 0.0000
0.5400, -1.9200, -1.1700, 6.1711, 4.7598, -23.7999, -2.3799, -14.6050, 24.9914, -14.6408, 0.3500, 0.0000, 0.0000
0.5500, -0.9300, -0.0800, 6.1689, -4.7600, 11.8999, -2.3799, -13.5893, 24.8101, -15.0496, 0.3500, 0.0000, 0.0000
0.5600, 0.4300, 0.4700, 6.1700, 2.3799, -7.1402, 7.1402, -13.9410, 26.2527, -15.0909, 0.3500, 0.0000, 0.0000
0.5700, -3.3000, -2.3100, 6.1711, -9.5201, 14.2798, -16.6597, -13.6635, 27.6175, -14.7318, 0.3500, 0.0000, 0.0000
0.5800, -0.3800, -0.1600, 6.1722, 4.7600, 40.4596, -9.5201, -14.4913, 26.3002, -14.7199, 0.3500, 0.0000, 0.0000
0.5900, 3.1500, -0.2400, 6.1744, 0.0000, -11.8999, 4.7603, -14.6777, 27.0683, -14.5114, 0.3500, 0.0000, 0.0000
0.6000, 0.2300, 1.9600, 6.1778, -7.1397, -11.9004, 0.0000, -13.6326, 28.1507, -14.6551, 0.3500, 0.0000, 0.0000
0.6100, 2.2200, -0.6400, 6.1789, -14.2803, 11.8999, -4.7598, -13.5908, 27.9993, -15.0073, 0.3500, 0.0000, 0.0000
0.6200, 0.3400, -0.8600, 6.1789, 0.0000, 4.7603, -9.5201, -14.1185, 29.0153, -14.9235, 0.3500, 0.0000, 0.0000
0.6300, -2.7000, -0.5500, 6.1811, -11.8999, 0.0000, -2.3799, -13.7400, 29.1779, -14.8637, 0.3500, 0.0000, 0.0000
0.6400, 2.9100, 1.8700, 6.1833, -19.0401, -9.5201, 0.0000, -13.7361, 29.3215, -15.6282, 0.3500, 0.0000, 0.0000
0.6500, -0.5900, 0.3700, 6.1867, 2.3799, 0.0000, -16.6597, -13.9040, 29.0516, -15.3301, 0.3500, 0.0000, 0.0000
0.6600, 0.1200, -1.5300, 6.1867, -11.8999, 9.5201, -11.8999, -14.0111, 28.8224, -14.8976, 0.3500, 0.0000, 0.0000
0.6700, 1.1700, -1.0000, 6.1833, 0.0000, 0.0000, -9.5201, -13.3971, 29.6421, -14.7222, 0.3500, 0.0000, 0.0000
0.6800, -0.3400, -0.3000, 6.1822, -7.1402, 4.7603, -7.1402, -13.7747, 30.7642, -14.3188, 0.3500, 0.0000, 0.0000
0.6900, 3.9700, 2.2400, 6.1811, 26.1803, 7.1397, 0.0000, -13.6166, 29.2923, -14.4950, 0.3500, 0.0000, 0.0000
0.7000, -0.6000, -0.6400, 6.1822, 0.0000, 16.6597, 7.1397, -14.4625, 27.1346, -15.4419, 0.3500, 0.0000, 0.0000
