t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, 0.0000, 0.0200, 0.0000, 0.0000, 9.5201, -2.3799, -0.0371, 0.0257, 0.9047, 0.3500, 0.0000, 0.0000
0.0200, 0.0000, 0.0100, 0.0000, 4.7600, 2.3801, 4.7600, -8.3708, 19.5374, -8.6969, 0.3500, 0.0000, 0.0000
0.0300, 0.0000, 0.0200, 0.0000, 40.4599, 9.5201, -4.7600, -9.8234, 19.1153, -8.9264, 0.3500, 0.0000, 0.0000
0.0400, 0.0000, 0.0100, 0.0000, -2.3801, 0.0000, 0.0000, -10.0272, 20.3032, -9.6602, 0.3500, 0.0000, 0.0000
0.0500, 0.0000, 0.0200, 0.0000, 2.3799, -16.6600, 4.7600, -10.3457, 21.1861, -10.0641, 0.3500, 0.0000, 0.0000
0.0600, 0.0000, 0.0000, 0.0000, 14.2801, -2.3799, -7.1399, -10.7900, 21.8096, -10.2039, 0.3500, 0.0000, 0.0000
0.0700, 0.0100, 0.0100, 0.0000, -21.4200, 4.7598, 14.2801, -11.4309, 22.2228, -10.6274, 0.3500, 0.0000, 0.0000
0.0800, 0.0000, 0.0200, 0.0000, -2.3801, -14.2798, 7.1399, -11.0962, 23.1693, -11.3279, 0.3500, 0.0000, 0.0000
0.0900, 0.0000, 0.0100, 0.0000, -14.2801, 9.5201, 0.0000, -11.1644, 23.1812, -11.5710, 0.3500, 0.0000, 0.0000
0.1000, 0.0100, 0.0200, 0.0000, -2.3801, 14.2801, 4.7600, -12.0695, 23.1360, -12.4050, 0.3500, 0.0000, 0.0000
0.1100, -0.2900, 0.2500, 6.2811, 2.3801, 4.7600, -14.2798, -12.4687, 22.5771, -12.6258, 0.3500, 0.0000, 0.0000
0.1200, 0.7100, 0.0100, 6.2778, 4.7598, 2.3799, 0.0000, -12.5222, 21.8250, -13.6060, 0.3500, 0.0000, 0.0000
0.1300, 1.9700, 0.6000, 6.2733, 7.1399, 23.7999, 0.0000, -13.4601, 20.8578, -14.0133, 0.3500, 0.0000, 0.0000
0.1400, 1.0700, 0.1900, 6.2678, -9.5201, 0.0000, -7.1399, -13.2913, 20.7470, -14.1277, 0.3500, 0.0000, 0.0000
0.1500, 1.1300, 0.3900, 6.2622, -11.8999, 4.7600, -4.7600, -13.8145, 20.3406, -14.5998, 0.3500, 0.0000, 0.0000
0.1600, 1.6000, 0.0900, 6.2544, 7.1399, 4.7600, -7.1399, -14.3337, 19.0726, -14.4951, 0.3500, 0.0000, 0.0000
0.1700, 1.5100, 0.1700, 6.2478, 33.3200, 16.6600, -7.1399, -15.6958, 18.1124, -14.7304, 0.3500, 0.0000, 0.0000
0.1800, 0.8400, -0.0700, 6.2411, 19.0399, 11.8999, 0.0000, -15.7716, 17.7190, -15.3178, 0.3500, 0.0000, 0.0000
0.1900, 0.8700, 0.4700, 6.2333, 9.5201, 19.0399, -4.7600, -15.6155, 17.0009, -14.9796, 0.3500, 0.0000, 0.0000
0.2000, 1.1600, 0.3800, 6.2256, -26.1798, 16.6600, 7.1399, -15.1956, 16.5858, -15.9443, 0.3500, 0.0000, 0.0000
0.2100, 1.3700, -0.0800, 6.2178, -4.7600, 2.3799, 0.0000, -15.6365, 16.1512, -15.9385, 0.3500, 0.0000, 0.0000
0.2200, -0.0500, -0.6800, 6.2111, -7.1399, 9.5201, -2.3799, -15.8652, 16.5344, -16.1793, 0.3500, 0.0000, 0.0000
0.2300, 1.7500, -0.0900, 6.2033, -16.6600, 2.3799, 2.3799, -15.6772, 16.7715, -16.7056, 0.3500, 0.0000, 0.0000
0.2400, 0.4000, -0.6000, 6.1956, 0.0000, 19.0401, 11.8999, -17.0342, 16.8103, -17.0901, 0.3500, 0.0000, 0.0000
0.2500, -0.1200, 0.3500, 6.1889, 0.0000, 11.9002, -19.0399, -17.3518, 17.1602, -16.3178, 0.3500, 0.0000, 0.0000
0.2600, -0.4900, 0.7800, 6.1822, 4.7600, 16.6600, 0.0000, -17.6756, 18.6901, -16.6149, 0.3500, 0.0000, 0.0000
0.2700, -1.6600, 1.0100, 6.1744, -23.7999, 7.1399, -7.1399, -16.6860, 19.3644, -16.2339, 0.3500, 0.0000, 0.0000
0.2800, 1.6100, -0.8800, 6.1722, 0.0000, 0.0000, -14.2798, -16.2018, 20.4939, -16.2368, 0.3500, 0.0000, 0.0000
0.2900, -0.7200, 1.0800, 6.1689, 52.3598, 19.0399, -11.8999, -16.1710, 20.6327, -15.2999, 0.3500, 0.0000, 0.0000
0.3000, 2.4800, 0.6200, 6.1667, 11.8999, 23.7999, -4.7600, -14.4440, 20.4425, -14.2336, 0.3500, 0.0000, 0.0000
0.3100, 1.0200, 2.2700, 6.1656, -9.5201, 7.1399, -4.7600, -12.9102, 20.6825, -13.3118, 0.3500, 0.0000, 0.0000
0.3200, 1.8800, 0.2000, 6.1656, -9.5201, 4.7600, 0.0000, -12.7843, 21.0972, -12.7195, 0.3500, 0.0000, 0.0000
0.3300, 0.0500, 0.4100, 6.1678, -19.0399, 4.7598, -7.1399, -11.7108, 21.4510, -11.3791, 0.3500, 0.0000, 0.0000
0.3400, -0.1200, -2.7300, 6.1689, -9.5201, 0.0000, 0.0000, -11.7034, 21.1812, -12.3615, 0.3500, 0.0000, 0.0000
0.3500, 0.1600, -0.9300, 6.1689, 2.3799, 2.3799, -16.6600, -11.8824, 22.6139, -12.1853, 0.3500, 0.0000, 0.0000
