time_s,x_m,y_m,phi_rad,vx_m_s,vy_m_s,omega_rad_s
0.03333333333333333,5.890067685722366e-05,3.840541509865031e-05,1.3691532999537344,0.007172199361332665,0.0026541448743913885,0.3727261373315518
0.043333333333333335,9.268494112936178e-05,5.252638312706915e-05,1.372602816520889,0.00890143770340768,0.00313489002728315,0.29920738221019255
0.05333333333333334,0.00016512551106790898,8.123522156026767e-05,1.3784511424912584,0.012222814191654796,0.004000060793237251,0.10984923662253697
0.06333333333333334,0.0002847237238863085,0.00012495523018213816,1.3841375268774414,0.01690115975828034,0.005093791084474553,-0.24621187726559401
0.07333333333333333,0.00046163876347094293,0.00018340032750986503,1.3855038219668607,0.022654237046567816,0.0062529614877467905,-0.7812219627647319
0.08333333333333334,0.0007056383050066674,0.0002552111396647799,1.3779588406591725,0.02918267923378336,0.007347886626393529,-1.437044231982233
0.09333333333333335,0.0010244442521796823,0.0003381468298882422,1.3586115181357656,0.036170580300453094,0.008297576948204414,-2.0889117803664847
0.10333333333333333,0.0014224821098307132,0.00042967502879089536,1.3281211149609815,0.04328022073331085,0.009064212648535026,-2.58462648302741
0.11333333333333334,0.0018998732484376661,0.0005275340195786544,1.2909245925944017,0.05017118048232233,0.009639515280491517,-2.7993987584851334
0.12333333333333335,0.002451687004074638,0.0006298881472270161,1.2535018406591796,0.05655621744078593,0.010033464600280052,-2.678189501515989
0.13333333333333336,0.0030679374194906607,0.0007350566004344269,1.221789340836827,0.06228326478883438,0.010270759198241058,-2.2451274274934607
0.14333333333333334,0.0037352648680421567,0.0008412153844042705,1.1992809808432046,0.06741532526752551,0.010395152439355225,-1.5788478043076206
0.15333333333333335,0.004440803157303532,0.0009465285943723338,1.1867733566229735,0.07227021135399689,0.010475779844060852,-0.7715671168002168
0.16333333333333336,0.005177600892099126,0.0010498903423554488,1.1835316352230032,0.07738641997428146,0.010605536321820267,0.10335097445297656
0.17333333333333334,0.005949549612681241,0.0011519080808691652,1.1888329083863747,0.08340510699284444,0.01088345514575716,0.9989679780255306
0.18333333333333335,0.006773261609111889,0.001255461695500987,1.2028886303782478,0.09089411414850074,0.011381223140466568,1.8781298224569232
0.19333333333333336,0.007675408798786371,0.0013652902561421384,1.226650600397517,0.10017062470316099,0.012104525468681114,2.6880152971362126
0.20333333333333337,0.008686202336536187,0.0014865165272608567,1.2606991976723836,0.11118569059346678,0.012966728421074315,3.345700958558961
0.21333333333333337,0.00983155065012064,0.0016225557974376837,1.303848328325704,0.12351130817696372,0.013791299599280585,3.7473092401784434
0.22333333333333336,0.011126798812246298,0.0017731514057032188,1.352329781470772,0.13643076833760873,0.014349993603048828,3.799189970931408
0.23333333333333336,0.012573815420218423,0.0019333404184944533,1.4001464488683242,0.14909656218637968,0.014429535654334247,3.456559275306579
0.24333333333333337,0.01416156221098751,0.0020939560583812305,1.4405971688061106,0.16070342044863645,0.013905924465021806,2.750109410474045
0.25333333333333335,0.015869125841609277,0.0022438150636797665,1.4682591931069513,0.17063001658797375,0.012798697146305577,1.786785512604491
0.26333333333333336,0.01766989260165645,0.0023730347556027774,1.4805077971306317,0.1785226174621824,0.011281989730772763,0.7236932568241184
0.2733333333333334,0.019535826261502864,0.00247626532007335,1.4779417399269401,0.18431525564137402,0.009644938890084116,-0.273459462351317
0.2833333333333334,0.021441202982899206,0.002554450709629103,1.463676271397588,0.18819588286105057,0.008214745381879648,-1.0705341951002216
0.2933333333333334,0.023365394380123385,0.002614339885217381,1.4421079917953576,0.19053515319647912,0.007271262930135039,-1.5902690770531984
0.3033333333333334,0.02529448889897134,0.0026661242290859535,1.4177012790152292,0.19179670081052813,0.006983672405266681,-1.8179338647832717
0.31333333333333335,0.027221571169398592,0.002720458332335097,1.3941764880670822,0.19244769355905994,0.007386769170005986,-1.7908512728623784
0.32333333333333336,0.02914569515301287,0.0027862106705165077,1.3741275481666528,0.19288643969716274,0.008394743091331102,-1.5793557151760949
0.33333333333333337,0.031069913542894668,0.002869537717613165,1.3589270282307035,0.19339870608297535,0.009835872433720128,-1.2663452153156476
0.3433333333333334,0.032999048674229856,0.002973929632093987,1.348802634402723,0.1941459171494087,0.011489639783109738,-0.929992104809736
0.3533333333333334,0.034937942077059206,0.003100443562918209,1.3430578342846438,0.19517901223251277,0.013116627145559622,-0.63174657885824
0.3633333333333334,0.036890510698710285,0.003247605985846422,1.3404215053927162,0.19646576291704382,0.01448251946281143,-0.4102990781461103
0.3733333333333334,0.03885948615933197,0.0034111034578182082,1.339457130258306,0.19791985039626495,0.015382223319589243,-0.2811879333420772
0.3833333333333334,0.040846379467581795,0.003583822729761174,1.3388801452251222,0.19942602811674454,0.01566638557925402,-0.2407318281665154
0.3933333333333334,0.04285125660094987,0.003756676369445434,1.3377315601023547,0.20086250854461565,0.015265290944359019,-0.27214711611962017
0.4033333333333334,0.04487243242688561,0.003920148650156522,1.3353889010508613,0.20212419919945698,0.014201265653202056,-0.35169672458735846
0.4133333333333334,0.04690646964141203,0.0040659814129006475,1.3315193598024386,0.2031470951227966,0.012583784419827087,-0.45368205820005214
0.4233333333333334,0.048948861982035824,0.004188374510967023,1.3260616197679942,0.20392839144454453,0.01058904899756508,-0.5543558847136574
0.4333333333333334,0.050995334244159515,0.004284397561259793,1.3192501330081918,0.20453418482685498,0.008432096143709333,-0.6353702377976115
0.4433333333333334,0.05304327613148351,0.004353826318068928,1.3116087309341236,0.20509001708551705,0.006340199585468267,-0.6867533648364627
