t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.4100, 2.2700, -0.6800, 6.1522, 4.7600, 0.0000, -2.3799, -14.5192, 24.2096, -13.8192, 0.3500, 0.0000, 0.0000
0.4200, -0.1000, 0.2200, 6.1489, 9.5199, 14.2803, -4.7598, -14.0372, 25.0618, -14.1914, 0.3500, 0.0000, 0.0000
0.4300, 0.2100, -0.8900, 6.1467, -9.5199, 21.4200, -4.7598, -14.0343, 25.3113, -13.8571, 0.3500, 0.0000, 0.0000
0.4400, -0.9700, -0.1000, 6.1456, 0.0000, -9.5201, -2.3799, -14.0983, 26.0265, -13.4597, 0.3500, 0.0000, 0.0000
0.4500, 0.9600, 0.9700, 6.1456, -16.6599, 4.7598, 2.3804, -12.9088, 26.4326, -14.5572, 0.3500, 0.0000, 0.0000
0.4600, 1.4000, 0.8000, 6.1433, 21.4200, 16.6597, 0.0000, -13.4830, 26.0969, -14.0743, 0.3500, 0.0000, 0.0000
0.4700, 0.5000, -0.7100, 6.1411, 0.0000, 7.1402, -19.0401, -13.6360, 26.3635, -13.2748, 0.3500, 0.0000, 0.0000
0.4800, -0.3500, -0.3200, 6.1400, -19.0399, 9.5196, -126.1396, -14.4328, 26.4982, -8.3068, 0.3500, 0.0000, 0.0000
0.5300, -0.3500, -0.3200, 6.1400, 2.3799, 0.0000, -2.3799, -14.8153, 26.7921, -14.3787, 0.3500, 0.0000, 0.0000
0.5800, -0.3500, -0.3200, 6.1400, 9.5198, 2.3799, -4.7598, -14.8429, 25.4062, -14.4497, 0.3500, 0.0000, 0.0000
0.6400, -0.3500, -0.3200, 6.1400, 0.0000, 9.5201, -2.3799, -13.3589, 23.5115, -14.6049, 0.3500, 0.0000, 0.0000
0.6900, -0.3500, -0.3200, 6.1400, -9.5201, -14.2801, -23.7999, -13.8037, 26.4383, -13.6512, 0.3500, 0.0000, 0.0000
0.7400, -0.3500, -0.3200, 6.1400, -4.7600, 2.3799, -4.7603, -14.4551, 28.6322, -17.2932, 0.3500, 0.0000, 0.0000
0.8000, -0.3500, -0.3200, 6.1400, -4.7598, 14.2800, -11.8999, -15.3255, 29.3783, -13.3809, 0.3500, 0.0000, 0.0000
0.8500, -0.3500, -0.3200, 6.1400, -14.2798, -2.3800, -7.1402, -14.7039, 30.3369, -14.8421, 0.3500, 0.0000, 0.0000
0.9000, -0.3500, -0.3200, 6.1400, -9.5196, 7.1400, -26.1798, -14.7357, 29.2431, -15.3805, 0.3500, 0.0000, 0.0000
0.9600, -0.3500, -0.3200, 6.1400, 11.8999, 19.0399, -4.7600, -16.1838, 26.7087, -15.7099, 0.3500, 0.0000, 0.0000
1.0100, -0.3500, -0.3200, 6.1400, 0.0000, 21.4200, 2.3799, -16.1369, 27.2186, -16.6181, 0.3500, 0.0000, 0.0000
1.0100, 0.0000, 0.0000, 0.0000, 0.0000, 14.2798, -11.8999, -16.3554, 27.0946, -16.2991, 0.3500, 0.0000, 0.0000
1.0200, 0.0000, 0.0000, 0.0000, -11.8999, 7.1402, -28.5599, -15.3943, 28.0213, -16.1110, 0.3500, 0.0000, 0.0000
1.0300, 0.0000, 0.0000, 0.0000, 0.0000, 19.0396, 7.1402, -15.4022, 29.3658, -16.4127, 0.3500, 0.0000, 0.0000
1.0400, 0.0000, 0.0000, 0.0000, -21.4200, 4.7598, -4.7600, -15.3182, 30.2984, -15.2867, 0.3500, 0.0000, 0.0000
1.0500, 0.0000, 0.0000, 0.0000, -28.5602, 57.1198, 0.0000, -15.6983, 27.8137, -15.7757, 0.3500, 0.0000, 0.0000
