t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, -0.0600, 0.0300, 6.2089, -4.7598, -4.7598, -7.1399, 0.3294, 1.1199, 1.4121, 0.3500, 0.0000, 0.0000
0.0200, -0.0600, 0.0200, 6.2089, 2.3799, 4.7598, 4.7600, -8.0560, 18.7614, -8.2890, 0.3500, 0.0000, 0.0000
0.0300, -0.0600, 0.0200, 6.2089, -14.2798, 0.0000, -11.8999, -8.6851, 19.6429, -8.1679, 0.3500, 0.0000, 0.0000
0.0400, -0.0700, 0.0300, 6.2089, -19.0396, 14.2798, -16.6600, -8.9695, 19.9743, -9.0936, 0.3500, 0.0000, 0.0000
0.0500, -0.0500, 0.0300, 6.2089, 11.8999, -4.7598, -4.7600, -10.1482, 20.8778, -9.8827, 0.3500, 0.0000, 0.0000
0.0600, -0.0700, 0.0200, 6.2089, 11.8999, 2.3801, 11.8999, -10.5278, 21.1983, -10.7159, 0.3500, 0.0000, 0.0000
0.0700, -0.0700, 0.0100, 6.2089, 7.1402, 4.7600, -4.7600, -11.4104, 21.7447, -10.6257, 0.3500, 0.0000, 0.0000
0.0800, -0.0700, 0.0200, 6.2089, -16.6597, 4.7603, 2.3799, -10.7358, 22.8763, -11.0120, 0.3500, 0.0000, 0.0000
0.0900, -0.0600, 0.0200, 6.2089, -16.6597, -4.7603, -7.1399, -11.0572, 23.8267, -10.7912, 0.3500, 0.0000, 0.0000
0.1000, -0.0300, 0.0400, 6.2089, -16.6597, 9.5201, 0.0000, -11.5373, 23.9983, -11.8018, 0.3500, 0.0000, 0.0000
0.1100, 0.0900, 0.0000, 6.2100, 16.6597, 7.1399, -2.3799, -12.5833, 24.2119, -12.7564, 0.3500, 0.0000, 0.0000
0.1200, -1.3600, 1.0500, 6.2078, 16.6597, -7.1399, 19.0399, -13.4260, 25.3623, -13.2891, 0.3500, 0.0000, 0.0000
0.1300, -0.5700, -0.7700, 6.2044, 0.0000, 7.1399, 0.0000, -13.0341, 25.8163, -13.5856, 0.3500, 0.0000, 0.0000
0.1400, -0.1100, 0.6600, 6.2044, -19.0401, -66.6399, 2.3799, -12.8707, 27.3132, -13.9326, 0.3500, 0.0000, 0.0000
0.1500, -0.2000, 0.1400, 6.2044, 0.0000, 0.0000, 14.2801, -13.5334, 23.1137, -14.7970, 0.3500, 0.0000, 0.0000
