t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, 0.0100, 0.0100, 6.2822, -14.2800, 16.6600, -9.5198, -0.2912, -0.2571, 1.7447, 0.3500, 0.0000, 0.0000
0.0200, 0.0000, 0.0000, 6.2822, -14.2800, 2.3800, 14.2801, -9.3912, 19.3542, -9.4421, 0.3500, 0.0000, 0.0000
0.0300, 0.0100, 0.0000, 6.2822, 0.0000, -2.3800, -14.2801, -9.8773, 19.8445, -8.9263, 0.3500, 0.0000, 0.0000
0.0400, 0.0000, 0.0100, 6.2822, -9.5200, 0.0000, 0.0000, -9.9178, 20.5470, -10.1118, 0.3500, 0.0000, 0.0000
0.0500, 0.0100, 0.0000, 6.2822, 16.6600, 0.0000, -4.7598, -11.0687, 20.8981, -9.8567, 0.3500, 0.0000, 0.0000
0.0600, 0.0000, 0.0000, 6.2822, -19.0400, 45.2199, 0.0000, -10.4426, 19.6405, -10.8511, 0.3500, 0.0000, 0.0000
0.0700, 0.0000, 0.0100, 6.2822, -2.3800, 0.0000, 9.5198, -10.9080, 22.2584, -11.1197, 0.3500, 0.0000, 0.0000
0.0800, 0.0200, 0.0000, 6.2822, 0.0000, 2.3800, -2.3801, -11.3310, 23.1652, -10.9307, 0.3500, 0.0000, 0.0000
0.0900, 0.0000, 0.0100, 6.2822, 4.7600, -11.9000, -7.1402, -11.7891, 23.6419, -11.6761, 0.3500, 0.0000, 0.0000
0.1000, 0.0000, 0.0000, 6.2822, -4.7600, 4.7600, 7.1399, -12.1480, 23.3379, -12.6290, 0.3500, 0.0000, 0.0000
0.1100, -0.5100, 0.2100, 6.2811, 0.0000, 4.7600, -2.3801, -12.9601, 22.9064, -12.7623, 0.3500, 0.0000, 0.0000
0.1200, 0.3800, 0.1100, 6.2778, 14.2800, 9.5200, -4.7598, -13.8052, 21.9209, -12.8520, 0.3500, 0.0000, 0.0000
0.1300, 0.7400, 0.5200, 6.2744, -14.2800, -2.3800, -14.2801, -13.3596, 21.5420, -12.5067, 0.3500, 0.0000, 0.0000
0.1400, 1.4100, 0.1300, 6.2700, 0.0000, 4.7600, 0.0000, -14.2386, 20.5374, -13.4373, 0.3500, 0.0000, 0.0000
0.1500, 0.5700, 0.2400, 6.2656, 0.0000, 0.0000, 14.2798, -14.4395, 22.4946, -14.3976, 0.3500, 0.0000, 0.0000
0.1600, 1.1700, -0.6900, 6.2611, -7.1400, 2.3799, -9.5201, -14.2252, 22.6045, -14.3372, 0.3500, 0.0000, 0.0000
0.1700, 1.4200, 0.1600, 6.2567, -4.7600, -4.7603, -7.1402, -13.9614, 22.9034, -14.7226, 0.3500, 0.0000, 0.0000
0.1800, 0.8400, -0.7900, 6.2511, 0.0000, 4.7603, 7.1399, -14.4778, 22.2353, -15.2196, 0.3500, 0.0000, 0.0000
0.1900, 0.2300, -0.3200, 6.2456, -23.7999, -7.1402, -4.7598, -14.5872, 22.3713, -14.9467, 0.3500, 0.0000, 0.0000
0.2000, 0.2400, -0.4100, 6.2411, 7.1400, 9.5201, 0.0000, -15.2400, 22.7727, -15.3243, 0.3500, 0.0000, 0.0000
0.2100, 1.1200, -0.4600, 6.2367, 2.3800, 19.0401, -2.3801, -15.5016, 20.3630, -15.5924, 0.3500, 0.0000, 0.0000
0.2200, 1.2600, 0.6400, 6.2311, -4.7600, 0.0000, 7.1399, -16.0218, 20.2454, -16.4766, 0.3500, 0.0000, 0.0000
0.2300, -1.9300, 0.9900, 6.2244, -9.5200, 14.2803, 7.1402, -16.1972, 19.3904, -17.1942, 0.3500, 0.0000, 0.0000
0.2400, 2.3300, -0.2100, 6.2156, -11.9000, -7.1397, -14.2798, -16.4753, 19.4405, -16.7435, 0.3500, 0.0000, 0.0000
0.2500, 1.2800, -0.3300, 6.2067, 11.9000, 7.1402, 4.7598, -17.6956, 20.5826, -17.3267, 0.3500, 0.0000, 0.0000
0.2600, 1.4900, -0.4300, 6.1978, 0.0000, 7.1402, -16.6600, -17.8187, 19.9363, -15.5917, 0.3500, 0.0000, 0.0000
0.2700, -0.1600, 1.6400, 6.1922, 4.7600, 2.3799, 0.0000, -17.6038, 20.6223, -15.4479, 0.3500, 0.0000, 0.0000
0.2800, 0.2100, -0.1200, 6.1889, -28.5599, 33.3200, -4.7598, -16.6354, 20.8086, -14.3988, 0.3500, 0.0000, 0.0000
0.2900, 0.8100, -0.3500, 6.1878, 0.0000, 11.8999, -2.3799, -17.5254, 21.8917, -13.6172, 0.3500, 0.0000, 0.0000
