t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, -0.0100, -0.0400, 6.2344, 0.0000, -11.8999, -16.6600, 2.2305, 0.7930, 1.9543, 0.3500, 0.0000, 0.0000
0.0200, -0.0200, -0.0100, 6.2344, 7.1399, 7.1402, 28.5599, -8.0170, 17.9391, -9.9243, 0.3500, 0.0000, 0.0000
0.0300, -0.0100, 0.0000, 6.2344, 9.5201, -11.8999, 16.6600, -9.0972, 19.5854, -9.7273, 0.3500, 0.0000, 0.0000
0.0400, -0.0100, -0.0200, 6.2344, -9.5198, -16.6600, 14.2800, -9.4938, 20.5053, -9.9395, 0.3500, 0.0000, 0.0000
0.0500, -0.0400, -0.0200, 6.2344, -4.7600, 16.6600, 16.6600, -9.6636, 20.1119, -10.4059, 0.3500, 0.0000, 0.0000
0.0600, -0.0300, -0.0100, 6.2344, -4.7600, 11.8999, -16.6600, -9.8191, 21.0729, -9.8866, 0.3500, 0.0000, 0.0000
0.0700, 0.0000, -0.0100, 6.2344, 4.7600, -7.1402, -2.3800, -10.6524, 22.0154, -10.2698, 0.3500, 0.0000, 0.0000
0.0800, -0.0200, 0.0000, 6.2344, 14.2798, 0.0000, -28.5599, -11.5123, 22.7100, -10.7265, 0.3500, 0.0000, 0.0000
0.0900, 0.0000, -0.0100, 6.2344, -16.6600, 0.0000, -4.7599, -11.2125, 23.9613, -10.8729, 0.3500, 0.0000, 0.0000
0.1000, -0.0100, 0.0000, 6.2344, 9.5201, -4.7600, -16.6600, -11.8416, 25.0628, -11.5111, 0.3500, 0.0000, 0.0000
0.1100, 0.3900, -0.1200, 6.2367, 0.0000, 16.6600, -4.7600, -12.1547, 23.9973, -12.4374, 0.3500, 0.0000, 0.0000
0.1200, -1.6000, 0.8500, 6.2367, -4.7600, -9.5198, -4.7600, -12.4291, 24.9796, -12.8734, 0.3500, 0.0000, 0.0000
0.1300, 0.9600, 0.6000, 6.2344, -16.6600, 0.0000, -2.3800, -13.2149, 25.2337, -13.3094, 0.3500, 0.0000, 0.0000
0.1400, 2.0600, 0.5900, 6.2322, -2.3801, 11.9002, 2.3799, -13.4167, 23.7195, -13.7755, 0.3500, 0.0000, 0.0000
0.1500, 0.8400, 0.6500, 6.2289, 0.0000, 9.5198, -16.6599, -13.9957, 22.2390, -13.9013, 0.3500, 0.0000, 0.0000
0.1600, 0.4900, 0.7700, 6.2256, 4.7600, 9.5201, 0.0000, -14.1679, 20.3036, -14.2912, 0.3500, 0.0000, 0.0000
0.1700, 1.8600, 0.2000, 6.2222, -2.3801, 2.3799, 0.0000, -14.2597, 19.2581, -14.6018, 0.3500, 0.0000, 0.0000
0.1800, 1.4600, 0.5100, 6.2167, -16.6600, -4.7600, 0.0000, -14.1786, 18.9328, -14.9245, 0.3500, 0.0000, 0.0000
0.1900, 0.8800, -0.2900, 6.2111, -2.3801, 21.4198, 0.0000, -14.9820, 17.2357, -15.2279, 0.3500, 0.0000, 0.0000
0.2000, 1.2100, -0.3100, 6.2067, -4.7600, 0.0000, -4.7600, -14.7288, 17.6249, -15.5497, 0.3500, 0.0000, 0.0000
0.2100, 1.0900, -0.2000, 6.2000, 4.7600, 9.5201, -7.1400, -15.3551, 17.8672, -15.8677, 0.3500, 0.0000, 0.0000
0.2200, 0.7100, -1.3700, 6.1933, -11.8999, 7.1399, -2.3799, -15.7289, 17.5072, -16.0975, 0.3500, 0.0000, 0.0000
0.2300, -0.0900, 0.7600, 6.1867, 0.0000, 4.7600, 7.1399, -16.5873, 17.4597, -16.5641, 0.3500, 0.0000, 0.0000
0.2400, 1.0800, 0.2600, 6.1767, 2.3801, 14.2798, 0.0000, -16.9207, 17.8806, -16.9005, 0.3500, 0.0000, 0.0000
0.2500, 0.8100, -0.2600, 6.1667, -9.5201, 16.6600, -16.6600, -15.9032, 19.3830, -15.9835, 0.3500, 0.0000, 0.0000
0.2600, -0.9600, -0.6400, 6.1578, 0.0000, 21.4198, 4.7599, -15.9539, 19.7414, -16.0694, 0.3500, 0.0000, 0.0000
0.2700, 2.0800, -1.0400, 6.1533, 4.7600, 9.5198, 11.9001, -14.8861, 19.7152, -15.3815, 0.3500, 0.0000, 0.0000
0.2800, 1.8700, 1.9300, 6.1511, -14.2798, 2.3799, -9.5199, -13.0796, 20.7252, -14.5595, 0.3500, 0.0000, 0.0000
0.2900, 1.5100, 0.1600, 6.1500, 9.5198, 4.7600, -4.7600, -14.5637, 20.4131, -14.1575, 0.3500, 0.0000, 0.0000
0.3000, 1.3900, -0.0100, 6.1478, -2.3799, 11.8999, 0.0000, -13.4440, 20.9621, -13.8599, 0.3500, 0.0000, 0.0000
0.3100, 0.6500, -0.0300, 6.1456, -7.1399, 4.7600, -4.7600, -12.9238, 21.2103, -13.0240, 0.3500, 0.0000, 0.0000
0.3200, 1.6400, 0.0800, 6.1444, -23.7999, 11.8999, -11.9001, -10.8962, 21.4739, -12.6961, 0.3500, 0.0000, 0.0000
0.3300, 0.2900, 0.3200, 6.1456, -11.8999, 11.8999, -7.1400, -11.4923, 22.0937, -13.1777, 0.3500, 0.0000, 0.0000
0.3400, -1.3100, -0.9800, 6.1467, 2.3799, 9.5199, 0.0000, -12.0349, 22.6887, -13.4890, 0.3500, 0.0000, 0.0000
0.3500, -0.0300, 0.7200, 6.1511, -16.6597, 7.1399, -7.1400, -11.6415, 23.1516, -12.8381, 0.3500, 0.0000, 0.0000
0.3600, -0.6300, -0.6100, 6.1544, -14.2798, 7.1400, -28.5599, -11.6393, 24.3237, -12.6611, 0.3500, 0.0000, 0.0000
0.3700, -2.3500, -0.4100, 6.1567, -16.6597, 9.5199, -11.8999, -11.6960, 24.4839, -12.7677, 0.3500, 0.0000, 0.0000
0.3800, 0.4800, -0.8200, 6.1589, -2.3799, 9.5199, -11.8999, -12.4647, 24.5597, -12.4121, 0.3500, 0.0000, 0.0000
